Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
AXISBANK,1241.0,1251.0,1225.15,1236.75,1901309,2014-02-25,0
ICICIBANK,1031.1,1039.85,1028.1,1036.45,1831460,2014-02-26,1
HDFCBANK,670.0,679.2,668.55,677.4,1137835,2014-02-26,1
AXISBANK,1232.0,1247.0,1228.2,1239.25,1876039,2014-02-26,1
AXISBANK,1240.5,1271.6,1238.1,1267.05,1873251,2014-02-28,1
HDFCBANK,682.0,682.9,665.15,669.6,1225896,2014-02-28,0
ICICIBANK,1045.0,1048.85,1031.0,1043.85,2822086,2014-02-28,1
HDFCBANK,665.2,672.0,663.2,666.2,919608,2014-03-03,0
AXISBANK,1260.0,1285.7,1247.6,1255.5,1931195,2014-03-03,0
ICICIBANK,1037.2,1051.0,1021.4,1029.8,3300830,2014-03-03,0
HDFCBANK,666.0,673.85,664.25,671.7,1610967,2014-03-04,1
AXISBANK,1255.0,1304.9,1255.0,1293.55,2389455,2014-03-04,1
ICICIBANK,1032.0,1072.0,1032.0,1069.1,2858785,2014-03-04,1
HDFCBANK,673.5,675.0,662.5,669.75,1001746,2014-03-05,0
AXISBANK,1300.0,1314.2,1294.05,1307.65,2642792,2014-03-05,1
ICICIBANK,1075.0,1102.5,1065.7,1099.4,3995822,2014-03-05,1
ICICIBANK,1104.7,1140.85,1103.35,1133.95,4242106,2014-03-06,1
HDFCBANK,673.0,677.7,668.1,675.6,1237170,2014-03-06,1
AXISBANK,1307.9,1335.0,1307.0,1329.5,1988376,2014-03-06,1
ICICIBANK,1145.05,1230.0,1139.2,1201.9,8212763,2014-03-07,1
AXISBANK,1334.0,1423.65,1329.3,1406.8,4716790,2014-03-07,1
HDFCBANK,679.6,714.9,676.2,711.45,5691892,2014-03-07,1
ICICIBANK,1184.0,1214.45,1182.25,1193.6,7676574,2014-03-10,0
AXISBANK,1392.0,1441.8,1392.0,1426.55,3382373,2014-03-10,1
HDFCBANK,706.5,736.9,700.0,734.45,6530963,2014-03-10,1
ICICIBANK,1198.75,1232.35,1190.4,1198.15,8116343,2014-03-11,1
AXISBANK,1426.0,1453.0,1410.05,1417.5,3966087,2014-03-11,0
HDFCBANK,734.5,740.0,719.55,725.15,3250118,2014-03-11,0
HDFCBANK,721.25,733.0,716.5,725.55,1777554,2014-03-12,1
AXISBANK,1417.5,1424.9,1392.05,1397.9,2149409,2014-03-12,0
ICICIBANK,1194.0,1223.0,1188.0,1211.65,3952636,2014-03-12,1
AXISBANK,1409.9,1425.0,1375.05,1381.15,2106791,2014-03-13,0
HDFCBANK,727.5,749.5,727.5,742.35,2862113,2014-03-13,1
ICICIBANK,1214.0,1241.5,1214.0,1220.0,3268335,2014-03-13,1
HDFCBANK,735.0,739.9,724.0,732.15,3052120,2014-03-14,0
ICICIBANK,1196.3,1219.55,1188.0,1215.0,4366341,2014-03-14,0
AXISBANK,1371.0,1371.0,1331.0,1354.9,2742319,2014-03-14,0
HDFCBANK,735.4,744.8,728.3,734.0,2025681,2014-03-18,1
